name,latitude,elevation,location,last_updated
Yelahanka Air Force Station,13.13549995,3045,Yelahanka,2009-03-25T09:32:06+00:00
Deoghar Airstrip,24.44666667,361,Unknown,2014-06-19T08:10:29+00:00
kanha,22.0926386,16,Unknown,2011-11-15T09:54:20+00:00
Barbil Aerodrome (JSPL),22.04861389,16,Unknown,2012-03-25T05:08:06+00:00
KEONJHAR AIRPORT,21.69666667,16,Unknown,2014-03-19T22:31:25+00:00
Nadirgul Airport,17.30606651,1811,Unknown,2016-01-12T23:33:27+00:00
GAUCHER,30.28444444,16,Unknown,2013-09-16T09:29:25+00:00
Amreli Airstrip,21.61985086,16,Amreli,2010-09-15T10:20:27+00:00
Bhagalpur Airport,25.249359,16,Bhagalpur,2014-03-19T22:38:35+00:00
"Kopal,Hospet Airport",15.358334,1698,Hospete,2009-10-20T12:07:01+00:00
Koppal Aerodrome,15.35910034,1700,Koppal,2009-08-05T21:58:06+00:00
Shibpur Airstrip,13.2363163,16,Madhupur,2010-12-29T19:26:41+00:00
Kolhapur Airport,16.66469955,1996,Unknown,2010-02-21T12:47:19+00:00
Satna Airport,24.5623,1060,Unknown,2018-09-15T16:16:31+00:00
Tuirial Airfield,23.7432,1093,Aizawl,2014-07-04T15:42:03+00:00
Dimapur Airport,25.88389969,487,Dimapur,2010-09-11T09:34:10+00:00
Gwalior Airport,26.29330063,617,Gwalior,2008-06-13T14:30:04+00:00
Kanpur Civil Airport,26.441401,411,Kanpur,2018-04-30T10:43:37+00:00
North Lakhimpur Airport,27.2954998,330,Lilabari,2008-06-13T14:30:04+00:00
Shillong Airport,25.70359993,2910,Shillong,2008-06-13T14:30:04+00:00
Car Nicobar Air Force Station,9.152509689,5,Unknown,2008-06-13T14:30:04+00:00
Along Airport,28.1753006,900,Unknown,2008-06-13T14:30:04+00:00
Dhanbad Airport,23.83399963,847,Unknown,2008-06-13T14:30:04+00:00
Muzaffarpur Airport,26.11910057,174,Unknown,2008-06-13T14:30:04+00:00
Daman Airport,20.43440056,33,Unknown,2008-06-13T14:30:04+00:00
Safdarjung Airport,28.58449936,705,Unknown,2008-06-13T14:30:04+00:00
Hissar Airport,29.17939949,700,Unknown,2008-06-13T14:30:04+00:00
Sirsa Air Force Station,29.56060028,650,Unknown,2008-06-13T14:30:04+00:00
Udhampur Air Force Station,32.90219879,2066,Unknown,2008-06-13T14:30:04+00:00
Ratnagiri Airport,17.013599,305,Unknown,2018-04-30T11:42:45+00:00
Guna Airport,24.654699,1600,Unknown,2017-04-08T07:19:54+00:00
Ludhiana Airport,30.85470009,834,Unknown,2008-06-13T14:30:04+00:00
Jaisalmer Airport,26.88870049,751,Unknown,2008-06-13T14:30:04+00:00
Kailashahar Airport,24.30820084,79,Unknown,2008-06-13T14:30:04+00:00
Panagarh Air Force Station,23.47430038,240,Unknown,2010-12-26T00:02:14+00:00
Akola Airport,20.698999,999,Akola,2018-04-30T11:37:04+00:00
Bareilly Air Force Station,28.42210007,580,Bareilly,2014-06-15T13:46:37+00:00
Nal Airport,28.07060051,750,Bikaner,2008-06-13T14:30:04+00:00
Bilaspur Airport,21.9884,899,Bilaspur,2018-04-30T10:19:24+00:00
Gorakhpur Airport,26.73970032,259,Gorakhpur,2010-09-09T20:14:22+00:00
Hashimara Air Force Station,26.69829941,340,Jalpaiguri,2008-06-13T14:30:04+00:00
Kadapa Airport,14.51,430,Kadapa,2018-04-30T09:59:22+00:00
Kandla Airport,23.1127,96,Kandla,2019-01-04T02:24:38+00:00
Pantnagar Airport,29.03339958,769,Pantnagar,2008-08-23T11:02:45+00:00
Salem Airport,11.7833004,1008,Salem,2015-08-07T14:23:43+00:00
Ziro Airport,27.588301,5403,Ziro,2018-04-30T12:08:30+00:00
Campbell Bay Airport,7.013040066,16,Unknown,2008-06-13T14:30:04+00:00
Machuka Advanced Landing Ground,28.60245801,7900,Unknown,2012-08-04T12:30:32+00:00
Vijaynagar Advanced Landing Ground,27.1935997,4167,Unknown,2010-03-15T23:54:54+00:00
Sookerating Airport,27.55290031,400,Unknown,2008-06-13T14:30:04+00:00
Rupsi India Airport,26.13969994,131,Unknown,2008-06-13T14:30:04+00:00
Giridih Airport,24.20190048,1000,Unknown,2008-06-13T14:30:04+00:00
Daltonganj Airport,24.01930046,803,Unknown,2008-06-13T14:30:04+00:00
Purnea Airport,25.75959969,129,Unknown,2008-06-13T14:30:04+00:00
Raxaul Airport,26.9666996,259,Unknown,2008-06-13T14:30:04+00:00
Deesa Airport,24.26790047,485,Unknown,2008-06-13T14:30:04+00:00
Bhilwara Airport,28.07710075,955,Unknown,2008-06-13T14:30:04+00:00
Karnal Airport,29.71409988,829,Unknown,2008-06-13T14:30:04+00:00
Kalka Airport,30.8245697,1700,Unknown,2008-12-12T05:11:01+00:00
Chakulia Airport,22.4605999,430,Unknown,2008-06-13T14:30:04+00:00
Thoise Airport,34.65259933,10046,Unknown,2008-06-13T14:30:04+00:00
Kargil Airport,34.52429962,9604,Unknown,2011-10-06T15:38:00+00:00
Fukche Advanced Landing Ground,32.93740082,13700,Unknown,2009-04-23T08:05:07+00:00
Awantipur Air Force Station,33.87659836,5393,Unknown,2008-06-13T14:30:04+00:00
Daulat Beg Oldi Advanced Landing Ground,35.39646671,16200,Unknown,2010-03-15T23:13:30+00:00
Chanda Airport,19.99469948,625,Unknown,2008-06-13T14:30:04+00:00
Karad Airport,17.28590012,1890,Unknown,2008-06-13T14:30:04+00:00
Jalgaon Airport,20.96220016,800,Unknown,2008-06-13T14:30:04+00:00
Dhulia Airport,20.92650032,920,Unknown,2008-06-13T14:30:04+00:00
Birlagram Airport,23.44689941,1541,Unknown,2008-06-13T14:30:04+00:00
Sidhi Airport,24.40229988,1093,Unknown,2008-06-13T14:30:04+00:00
Dhana Airport,23.75359917,1706,Unknown,2008-06-13T14:30:04+00:00
Amla Airport,21.92639923,2435,Unknown,2008-06-13T14:30:04+00:00
Nimach Airport,24.43079948,1617,Unknown,2008-06-13T14:30:04+00:00
Burhar Airport,23.23520088,1500,Unknown,2008-06-13T14:30:04+00:00
Ratlam Airport,23.38139915,1702,Unknown,2008-06-13T14:30:04+00:00
